Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Mon Nov 06 2017 01:07:00 GMT+0800 (SGT),0.012,4.3855,4.3795,0.005
Mon Nov 06 2017 01:08:00 GMT+0800 (SGT),0.012,4.3255,4.3195,0.005
Mon Nov 06 2017 01:09:00 GMT+0800 (SGT),0.012,4.311,,0.005
Mon Nov 06 2017 01:10:00 GMT+0800 (SGT),0.012,4.3275,4.319,0.005
Mon Nov 06 2017 01:11:00 GMT+0800 (SGT),0.012,4.2245,4.226,0.005
Mon Nov 06 2017 01:12:00 GMT+0800 (SGT),0.012,4.2245,4.2185,0.005
Mon Nov 06 2017 01:13:00 GMT+0800 (SGT),0.012,4.2195,4.205,0.005
Mon Nov 06 2017 01:14:00 GMT+0800 (SGT),0.012,4.215,4.209,0.005
Mon Nov 06 2017 01:15:00 GMT+0800 (SGT),0.012,4.212,4.206,0.005
Mon Nov 06 2017 01:16:00 GMT+0800 (SGT),0.012,3.9095,3.9035,0.005
Mon Nov 06 2017 01:17:00 GMT+0800 (SGT),0.012,3.638,3.632,0.005
Mon Nov 06 2017 01:18:00 GMT+0800 (SGT),0.012,3.625,3.617,0.005
Mon Nov 06 2017 01:19:00 GMT+0800 (SGT),0.012,3.538,3.522,0.005
Mon Nov 06 2017 01:20:00 GMT+0800 (SGT),0.012,3.5385,3.535,0.0075
Mon Nov 06 2017 01:21:00 GMT+0800 (SGT),0.012,3.529,3.523,0.005
Mon Nov 06 2017 01:22:00 GMT+0800 (SGT),0.012,3.5355,3.5295,0.005
Mon Nov 06 2017 01:23:00 GMT+0800 (SGT),0.012,3.523,3.517,0.005
Mon Nov 06 2017 01:24:00 GMT+0800 (SGT),0.012,3.517,3.511,0.005
Mon Nov 06 2017 01:25:00 GMT+0800 (SGT),0.012,3.5435,3.5375,0.005
Mon Nov 06 2017 01:26:00 GMT+0800 (SGT),0.012,3.539,3.533,0.005
Mon Nov 06 2017 01:27:00 GMT+0800 (SGT),0.012,3.5315,3.528,0.005
Mon Nov 06 2017 01:28:00 GMT+0800 (SGT),0.012,3.483,3.477,0.005
Mon Nov 06 2017 01:29:00 GMT+0800 (SGT),0.012,3.467,3.415,0.0075
Mon Nov 06 2017 01:30:00 GMT+0800 (SGT),0.012,3.4025,3.3965,0.005
Mon Nov 06 2017 01:31:00 GMT+0800 (SGT),0.012,3.3885,3.385,0.0075
Mon Nov 06 2017 01:32:00 GMT+0800 (SGT),0.012,3.3925,3.3865,0.005
Mon Nov 06 2017 01:33:00 GMT+0800 (SGT),0.012,3.383,4.029,0.005
Mon Nov 06 2017 01:34:00 GMT+0800 (SGT),0.012,4.002,3.996,0.005
Mon Nov 06 2017 01:35:00 GMT+0800 (SGT),0.012,3.908,3.8965,0.005
Mon Nov 06 2017 01:36:00 GMT+0800 (SGT),0.012,3.898,3.89,0.005
Mon Nov 06 2017 01:37:00 GMT+0800 (SGT),0.012,3.9005,3.897,0.0075
Mon Nov 06 2017 01:38:00 GMT+0800 (SGT),0.012,3.911,3.905,0.005
Mon Nov 06 2017 01:39:00 GMT+0800 (SGT),0.012,3.898,3.8925,0.005
Mon Nov 06 2017 01:40:00 GMT+0800 (SGT),0.012,4.033,4.0865,0.005
Mon Nov 06 2017 01:41:00 GMT+0800 (SGT),0.012,4.0425,4.0365,0.005
Mon Nov 06 2017 01:42:00 GMT+0800 (SGT),0.012,4.039,4.033,0.005
Mon Nov 06 2017 01:43:00 GMT+0800 (SGT),0.012,4.0385,4.032,0.005
Mon Nov 06 2017 01:44:00 GMT+0800 (SGT),0.012,4.0315,4.0255,0.005
Mon Nov 06 2017 01:45:00 GMT+0800 (SGT),0.012,4.008,4.002,0.005
Mon Nov 06 2017 01:46:00 GMT+0800 (SGT),0.012,4.023,4.0165,0.005
Mon Nov 06 2017 01:47:00 GMT+0800 (SGT),0.012,4.03,4.024,0.005
Mon Nov 06 2017 01:48:00 GMT+0800 (SGT),0.012,4.1755,4.1695,0.005
Mon Nov 06 2017 01:49:00 GMT+0800 (SGT),0.012,4.235,,0.005
Mon Nov 06 2017 01:50:00 GMT+0800 (SGT),0.012,4.063,4.057,0.005
Mon Nov 06 2017 01:51:00 GMT+0800 (SGT),0.012,3.912,3.906,0.005
Mon Nov 06 2017 01:52:00 GMT+0800 (SGT),0.012,3.917,3.911,0.005
Mon Nov 06 2017 01:53:00 GMT+0800 (SGT),0.012,3.918,3.912,0.005
Mon Nov 06 2017 01:54:00 GMT+0800 (SGT),0.012,3.9265,3.92,0.005
Mon Nov 06 2017 01:55:00 GMT+0800 (SGT),0.012,4.255,4.249,0.005
Mon Nov 06 2017 01:56:00 GMT+0800 (SGT),0.012,4.0065,4.018,0.005
Mon Nov 06 2017 01:57:00 GMT+0800 (SGT),0.012,4.005,4.007,0.005
Mon Nov 06 2017 01:58:00 GMT+0800 (SGT),0.012,4.016,4.004,0.005
Mon Nov 06 2017 01:59:00 GMT+0800 (SGT),0.012,3.9925,3.9865,0.005
Mon Nov 06 2017 02:00:00 GMT+0800 (SGT),0.012,3.988,3.982,0.005
Mon Nov 06 2017 02:01:00 GMT+0800 (SGT),0.012,4.088,4.084,0.0075
Mon Nov 06 2017 02:02:00 GMT+0800 (SGT),0.012,4.079,4.0725,0.005
Mon Nov 06 2017 02:03:00 GMT+0800 (SGT),0.012,4.082,4.0855,0.005
Mon Nov 06 2017 02:04:00 GMT+0800 (SGT),0.012,4.099,4.093,0.005
Mon Nov 06 2017 02:05:00 GMT+0800 (SGT),0.012,4.095,,0.005
Mon Nov 06 2017 02:06:00 GMT+0800 (SGT),0.012,4.087,4.0805,0.005
Mon Nov 06 2017 02:07:00 GMT+0800 (SGT),0.012,3.489,3.483,0.005
Mon Nov 06 2017 02:08:00 GMT+0800 (SGT),0.012,3.5,3.494,0.005
Mon Nov 06 2017 02:09:00 GMT+0800 (SGT),0.012,3.4905,3.4845,0.005
Mon Nov 06 2017 02:10:00 GMT+0800 (SGT),0.012,3.233,3.2265,0.005
Mon Nov 06 2017 02:11:00 GMT+0800 (SGT),0.012,3.179,3.173,0.005
Mon Nov 06 2017 02:12:00 GMT+0800 (SGT),0.012,3.2345,3.231,0.0075
Mon Nov 06 2017 02:13:00 GMT+0800 (SGT),0.012,3.2705,3.264,0.005
Mon Nov 06 2017 02:14:00 GMT+0800 (SGT),0.012,3.2705,3.264,0.005
Mon Nov 06 2017 02:15:00 GMT+0800 (SGT),0.012,3.3805,3.3745,0.005
Mon Nov 06 2017 02:16:00 GMT+0800 (SGT),0.012,3.4025,3.41,0.005
Mon Nov 06 2017 02:17:00 GMT+0800 (SGT),0.012,3.615,3.6115,0.0075
Mon Nov 06 2017 02:18:00 GMT+0800 (SGT),0.012,4.1265,4.1175,0.0025
Mon Nov 06 2017 02:19:00 GMT+0800 (SGT),0.012,4.5425,4.5365,0.005
Mon Nov 06 2017 02:20:00 GMT+0800 (SGT),0.012,4.1415,4.135,0.005
Mon Nov 06 2017 02:21:00 GMT+0800 (SGT),0.012,4.142,4.136,0.005
Mon Nov 06 2017 02:22:00 GMT+0800 (SGT),0.012,4.1425,4.123,0.005
Mon Nov 06 2017 02:23:00 GMT+0800 (SGT),0.012,4.206,4.2,0.005
Mon Nov 06 2017 02:24:00 GMT+0800 (SGT),,4.807,,0.005
Mon Nov 06 2017 02:25:00 GMT+0800 (SGT),0.012,4.7505,4.7445,0.005
Mon Nov 06 2017 02:26:00 GMT+0800 (SGT),0.012,4.7335,4.7275,0.005
Mon Nov 06 2017 02:27:00 GMT+0800 (SGT),0.012,4.738,4.721,0.005
Mon Nov 06 2017 02:28:00 GMT+0800 (SGT),0.012,5.0995,5.093,0.005
Mon Nov 06 2017 02:29:00 GMT+0800 (SGT),0.012,4.74,4.7315,0.0025
Mon Nov 06 2017 02:30:00 GMT+0800 (SGT),0.012,4.7085,4.7025,0.005
Mon Nov 06 2017 02:31:00 GMT+0800 (SGT),0.012,4.6315,4.6255,0.005
Mon Nov 06 2017 02:32:00 GMT+0800 (SGT),0.012,4.4495,4.4435,0.005
Mon Nov 06 2017 02:33:00 GMT+0800 (SGT),0.012,4.357,4.3885,0.005
Mon Nov 06 2017 02:34:00 GMT+0800 (SGT),0.012,4.3565,4.3505,0.005
Mon Nov 06 2017 02:35:00 GMT+0800 (SGT),0.012,4.2575,4.2515,0.005
Mon Nov 06 2017 02:36:00 GMT+0800 (SGT),0.012,4.153,4.147,0.005
Mon Nov 06 2017 02:37:00 GMT+0800 (SGT),0.012,4.147,4.141,0.005
Mon Nov 06 2017 02:38:00 GMT+0800 (SGT),0.012,4.1285,4.1225,
Mon Nov 06 2017 02:39:00 GMT+0800 (SGT),0.012,4.139,4.133,0.005
Mon Nov 06 2017 02:40:00 GMT+0800 (SGT),0.012,4.212,4.206,0.005
