Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power,MPPT - Current,MPPT - Voltage,BMS - Battery Voltage,BMS - Battery Current,BMS - Temperature,BMS - Amp Hour Charge
Mon Nov 06 2017 00:42:00 GMT+0800 (SGT),0.012,4.054,3.8065,0.005,,,50.93,0.422,21,0.007
Mon Nov 06 2017 00:43:00 GMT+0800 (SGT),0.012,3.967,3.961,0.005,,,50.93,0.4185,21,0.007
Mon Nov 06 2017 00:44:00 GMT+0800 (SGT),0.012,3.9655,3.9595,0.005,,,50.93,0.419,21,0.007
Mon Nov 06 2017 00:45:00 GMT+0800 (SGT),0.012,3.975,3.9685,0.005,,,50.93,0.4195,21,0.007
Mon Nov 06 2017 00:46:00 GMT+0800 (SGT),0.012,3.9985,4.041,0.005,,,50.93,0.4205,21,0.007
Mon Nov 06 2017 00:47:00 GMT+0800 (SGT),0.012,4.055,4.049,0.005,,,50.93,0.4195,21,0.007
Mon Nov 06 2017 00:48:00 GMT+0800 (SGT),0.012,4.052,4.046,0.005,,,50.93,0.419,21,0.007
Mon Nov 06 2017 00:49:00 GMT+0800 (SGT),0.012,4.0545,4.054,0.005,,,50.93,0.4205,21,0.007
Mon Nov 06 2017 00:50:00 GMT+0800 (SGT),0.012,4.133,4.0145,0.0075,,,50.93,0.424,21,0.007
Mon Nov 06 2017 00:51:00 GMT+0800 (SGT),0.012,3.902,3.896,0.005,,,50.93,0.4205,21,0.007
Mon Nov 06 2017 00:52:00 GMT+0800 (SGT),0.012,3.899,3.8925,0.005,,,50.93,0.4235,21,0.007
Mon Nov 06 2017 00:53:00 GMT+0800 (SGT),0.012,4.0015,3.9955,0.005,,,50.93,0.4195,21,0.007
Mon Nov 06 2017 00:54:00 GMT+0800 (SGT),0.012,4.024,4.0145,0.005,,,50.93,0.4215,21,0.007
Mon Nov 06 2017 00:55:00 GMT+0800 (SGT),0.012,4.018,4.012,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 00:56:00 GMT+0800 (SGT),0.012,3.9985,3.992,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 00:57:00 GMT+0800 (SGT),0.012,3.994,4,0.005,,,50.93,0.419,21,0.007
Mon Nov 06 2017 00:58:00 GMT+0800 (SGT),0.012,4.0085,4.0025,0.005,,,50.93,0.4205,21,0.007
Mon Nov 06 2017 00:59:00 GMT+0800 (SGT),0.012,3.987,3.981,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 01:00:00 GMT+0800 (SGT),0.012,4.231,4.221,0.005,,,50.93,0.4235,21,0.007
Mon Nov 06 2017 01:01:00 GMT+0800 (SGT),0.012,4.21,4.204,0.005,,,50.93,0.4195,21,0.007
Mon Nov 06 2017 01:02:00 GMT+0800 (SGT),0.012,4.321,4.315,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 01:03:00 GMT+0800 (SGT),0.012,4.2975,4.2915,0.005,,,50.93,0.4215,21,0.007
Mon Nov 06 2017 01:04:00 GMT+0800 (SGT),0.012,4.298,4.292,0.005,,,50.93,0.423,21,0.007
Mon Nov 06 2017 01:05:00 GMT+0800 (SGT),0.012,4.5465,4.5405,0.005,,,50.93,0.422,21,0.007
Mon Nov 06 2017 01:06:00 GMT+0800 (SGT),0.012,,4.423,0.005,,,50.93,0.418,21,0.007
Mon Nov 06 2017 01:07:00 GMT+0800 (SGT),0.012,4.3855,4.3795,0.005,,,50.93,0.42,21,0.007
Mon Nov 06 2017 01:08:00 GMT+0800 (SGT),0.012,4.3255,4.3195,0.005,,,50.93,0.4255,21,0.007
Mon Nov 06 2017 01:09:00 GMT+0800 (SGT),0.012,4.311,,0.005,,,50.93,0.4215,21,0.007
Mon Nov 06 2017 01:10:00 GMT+0800 (SGT),0.012,4.3275,4.319,0.005,,,50.93,0.4215,21,0.007
Mon Nov 06 2017 01:11:00 GMT+0800 (SGT),0.012,4.2245,4.226,0.005,,,50.93,0.419,21,0.007
Mon Nov 06 2017 01:12:00 GMT+0800 (SGT),0.012,4.2245,4.2185,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 01:13:00 GMT+0800 (SGT),0.012,4.2195,4.205,0.005,,,50.93,0.421,21,0.007
Mon Nov 06 2017 01:14:00 GMT+0800 (SGT),0.012,4.215,4.209,0.005,,,50.93,0.4215,21,0.007
Mon Nov 06 2017 01:15:00 GMT+0800 (SGT),0.012,4.212,4.206,0.005,,,50.93,0.419,21,0.007
Mon Nov 06 2017 01:16:00 GMT+0800 (SGT),0.012,3.9095,3.9035,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 01:17:00 GMT+0800 (SGT),0.012,3.638,3.632,0.005,,,50.925,0.421,21,0.007
Mon Nov 06 2017 01:18:00 GMT+0800 (SGT),0.012,3.625,3.617,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 01:19:00 GMT+0800 (SGT),0.012,3.538,3.522,0.005,,,50.925,0.419,21,0.007
Mon Nov 06 2017 01:20:00 GMT+0800 (SGT),0.012,3.5385,3.535,0.0075,,,50.93,0.421,21,0.007
Mon Nov 06 2017 01:21:00 GMT+0800 (SGT),0.012,3.529,3.523,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 01:22:00 GMT+0800 (SGT),0.012,3.5355,3.5295,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 01:23:00 GMT+0800 (SGT),0.012,3.523,3.517,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 01:24:00 GMT+0800 (SGT),0.012,3.517,3.511,0.005,,,50.92,0.4195,21,0.007
Mon Nov 06 2017 01:25:00 GMT+0800 (SGT),0.012,3.5435,3.5375,0.005,,,50.92,0.419,21,0.007
Mon Nov 06 2017 01:26:00 GMT+0800 (SGT),0.012,3.539,3.533,0.005,,,50.925,0.4215,21,0.007
Mon Nov 06 2017 01:27:00 GMT+0800 (SGT),0.012,3.5315,3.528,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 01:28:00 GMT+0800 (SGT),0.012,3.483,3.477,0.005,,,50.92,0.421,21,0.007
Mon Nov 06 2017 01:29:00 GMT+0800 (SGT),0.012,3.467,3.415,0.0075,,,50.92,0.425,21,0.007
Mon Nov 06 2017 01:30:00 GMT+0800 (SGT),0.012,3.4025,3.3965,0.005,,,50.92,0.422,21,0.007
Mon Nov 06 2017 01:31:00 GMT+0800 (SGT),0.012,3.3885,3.385,0.0075,,,50.92,0.417,21,0.007
Mon Nov 06 2017 01:32:00 GMT+0800 (SGT),0.012,3.3925,3.3865,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 01:33:00 GMT+0800 (SGT),0.012,3.383,4.029,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 01:34:00 GMT+0800 (SGT),0.012,4.002,3.996,0.005,,,50.92,0.4205,21,0.007
Mon Nov 06 2017 01:35:00 GMT+0800 (SGT),0.012,3.908,3.8965,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 01:36:00 GMT+0800 (SGT),0.012,3.898,3.89,0.005,,,50.92,0.4205,21,0.007
Mon Nov 06 2017 01:37:00 GMT+0800 (SGT),0.012,3.9005,3.897,0.0075,,,50.92,0.422,21,0.007
Mon Nov 06 2017 01:38:00 GMT+0800 (SGT),0.012,3.911,3.905,0.005,,,50.92,0.4185,21,0.007
Mon Nov 06 2017 01:39:00 GMT+0800 (SGT),0.012,3.898,3.8925,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 01:40:00 GMT+0800 (SGT),0.012,4.033,4.0865,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 01:41:00 GMT+0800 (SGT),0.012,4.0425,4.0365,0.005,,,50.92,0.4215,21,0.006
Mon Nov 06 2017 01:42:00 GMT+0800 (SGT),0.012,4.039,4.033,0.005,,,50.92,0.416,21,0.006
Mon Nov 06 2017 01:43:00 GMT+0800 (SGT),0.012,4.0385,4.032,0.005,,,50.92,0.4195,21,0.006
Mon Nov 06 2017 01:44:00 GMT+0800 (SGT),0.012,4.0315,4.0255,0.005,,,50.92,0.422,21,0.006
Mon Nov 06 2017 01:45:00 GMT+0800 (SGT),0.012,4.008,4.002,0.005,,,50.92,0.422,21,0.006
Mon Nov 06 2017 01:46:00 GMT+0800 (SGT),0.012,4.023,4.0165,0.005,,,50.92,0.42,21,0.006
Mon Nov 06 2017 01:47:00 GMT+0800 (SGT),0.012,4.03,4.024,0.005,,,50.92,0.416,21,
Mon Nov 06 2017 01:48:00 GMT+0800 (SGT),0.012,4.1755,4.1695,0.005,,,50.92,0.4195,21,0.006
Mon Nov 06 2017 01:49:00 GMT+0800 (SGT),0.012,4.235,,0.005,,,50.92,0.4225,21,0.006
Mon Nov 06 2017 01:50:00 GMT+0800 (SGT),0.012,4.063,4.057,0.005,,,50.92,0.4215,21,0.006
Mon Nov 06 2017 01:51:00 GMT+0800 (SGT),0.012,3.912,3.906,0.005,,,50.92,0.42,21,0.006
Mon Nov 06 2017 01:52:00 GMT+0800 (SGT),0.012,3.917,3.911,0.005,,,50.92,0.421,21,0.006
Mon Nov 06 2017 01:53:00 GMT+0800 (SGT),0.012,3.918,3.912,0.005,,,50.92,0.422,21,0.006
Mon Nov 06 2017 01:54:00 GMT+0800 (SGT),0.012,3.9265,3.92,0.005,,,50.92,0.4215,21,0.0065
Mon Nov 06 2017 01:55:00 GMT+0800 (SGT),0.012,4.255,4.249,0.005,,,50.92,0.423,21,0.007
Mon Nov 06 2017 01:56:00 GMT+0800 (SGT),0.012,4.0065,4.018,0.005,,,50.92,0.4245,21,0.007
Mon Nov 06 2017 01:57:00 GMT+0800 (SGT),0.012,4.005,4.007,0.005,,,50.92,0.4215,21,0.007
Mon Nov 06 2017 01:58:00 GMT+0800 (SGT),0.012,4.016,4.004,0.005,,,50.92,0.4175,21,0.007
Mon Nov 06 2017 01:59:00 GMT+0800 (SGT),0.012,3.9925,3.9865,0.005,,,50.92,0.42,21,0.007
Mon Nov 06 2017 02:00:00 GMT+0800 (SGT),0.012,3.988,3.982,0.005,,,50.92,0.419,21,0.007
